fsq_id,Longitude,Latitude,Elevation
518309dc498e21dbe9058b9b,-122.397425,37.787129,8.037961006
4b254fb0f964a520c56f24e3,-121.887084,37.330568,28.919719696
56d74386cd10dff01acdb949,-122.504597,37.75284,14.596304893
58dff869b3cdc853091734fa,-122.426884,37.743418,39.463272095
6042aeb280ef454236b4de7d,-122.390963,37.771122,2.825445175
4ad8dd3ff964a5206e1521e3,-122.267238,37.866532,55.373210907
4fc7c071e4b06e4ecff8e93d,-122.412028,37.769745,6.326015472
56cb88ff498e223a0d752e97,-121.886466,37.33373,26.726373672
6052a71a10c9ff6ee1e79fe8,-122.416377,37.787103,42.734119415
52f3d3c311d2fa6250257ba7,-122.414499,37.803105,9.194698334
4a70fa6df964a520e9d81fe3,-121.896909,37.350876,18.744550705
4b1413def964a520e89c23e3,-122.282701,37.808661,8.097049713
4b265bb3f964a520807a24e3,-121.883503,37.337222,25.385675430
4b64dfd4f964a52097d62ae3,-122.418214,37.751923,22.485013962
5bd51be9947c05002c3a432d,-122.265741,37.846819,38.521114349
50a6999590e7783c56a9945c,-122.413373,37.802244,11.877614975
4bdc873d2a3a0f47f042b3b6,-122.396908,37.778347,3.488896132
4be1fbbc660ec928e858c83b,-122.389657,37.736714,15.299480438
53436734498e7f23eff637de,-122.260159,37.850864,51.650733948
60901c6fd2d3fd142427138a,-122.39396,37.787948,10.161211014
4486b2d2f964a5202d341fe3,-122.410097,37.800852,23.978418350
4a620525f964a520d6c21fe3,-121.913247,37.323228,34.806179047
4e2b4f1c1f6ebe544252959f,-122.434838,37.732549,61.236057281
5f349546a58a76498b527545,-122.438256,37.775743,60.348552704
5e6078e46c502e00070739b9,-122.42281,37.777546,20.658271790
43fb0c0ef964a520df2f1fe3,-122.421854,37.773503,16.937604904
43f703c9f964a520b52f1fe3,-122.433714,37.760769,33.166313171
57814797cd10c6e07dfc0b81,-122.392248,37.729588,16.705039978
5cb29f8bc0f163002c1b54a9,-122.252014,37.849059,62.635475159
5c17db6331fd14002cc1efda,-122.439043,37.784176,43.094871521
4aac0cfbf964a520e95b20e3,-121.894034,37.349341,19.939123154
54fef97c498ed85c97c47bb8,-121.881797,37.324082,31.656999588
4a8a4baef964a5201a0a20e3,-122.262621,37.835033,34.013412476
50ad5b86067d33c34bef6724,-122.405627,37.797348,15.426693916
591667529de23b672d0ec3cd,-121.900883,37.332903,26.367244720
5643c422498ee6f4e65ad0ad,-121.892833,37.340302,24.188016891
4c363d66ae2da59335d5fcc5,-122.477076,37.770608,86.384574890
4aa030a2f964a520a63e20e3,-122.260727,37.850756,50.686176300
50709df7e4b0c9f5cfd97f4a,-122.268514,37.812766,7.257798672
4a2821d8f964a520f8941fe3,-122.402375,37.765286,7.351801872
5e3c683c648f9f0008f3c872,-122.268407,37.874347,64.884201050
5f09357db86f39032b516f50,-122.422362,37.777253,20.147918701
60b3b78df426547c8853dd7c,-122.453645,37.799551,11.821831703
43f5f8a9f964a520a92f1fe3,-122.4157,37.779137,18.271528244
5740dcb3498e382e23897212,-122.275905,37.817732,8.513063431
4ae910a0f964a5203db421e3,-122.253342,37.825994,30.956928253
