ID_LAT_LONG
"('5a33428625ecca176e716ca7', 37.778077, -122.422698)"
"('49f35850f964a5208d6a1fe3', 37.781216, -122.421378)"
"('4c31339c7cc0c9b6eb84ee9a', 37.795651, -122.278864)"
"('5a2737c10457b734e89d1e29', 37.786064, -122.404532)"
"('4db0bc8e0437a93f7f7a23e7', 37.753198, -122.505048)"
"('5dc6f6d736cad800076c822a', 37.320453, -121.907944)"
"('58d451f495383907dba37158', 37.766562, -122.397218)"
"('5d62ea99ffec4e00078889cb', 37.773217, -122.438823)"
"('43917d6df964a5205c2b1fe3', 37.764835, -122.421127)"
"('49fd3a31f964a520146f1fe3', 37.780293, -122.476436)"
"('44d43fb3f964a5204d361fe3', 37.773955, -122.416362)"
"('42a4e380f964a520fe241fe3', 37.76342, -122.407999)"
"('62e5b0c162ee2204736863a4', 37.3237, -121.913988)"
"('4b353151f964a520202b25e3', 37.356185, -121.89655)"
"('4cd0a38e5b5ca35de6317df0', 37.797485, -122.403413)"
"('52603bff11d21a914be4eb71', 37.768616, -122.427227)"
"('4ab01b2bf964a520ec6520e3', 37.777557, -122.441445)"
"('60e0a63411913a782c8df046', 37.871005, -122.279459)"
"('5674ec9f498e6ba0bbbbe816', 37.335819, -121.876913)"
"('4e15fbae52b1b9e564457497', 37.342588, -121.876345)"
"('4bb2595c42959c7430b7202c', 37.777639, -122.407046)"
"('589f9cd575e13747e9a6b8c1', 37.77547, -122.497499)"
"('53e55893498ed822e04fd909', 37.795504, -122.393401)"
"('540c8a46498eb9ea5b8342b3', 37.794086, -122.254018)"
"('4de2d7d118385df2b02e69be', 37.774358, -122.21148)"
"('4b919e67f964a52057ca33e3', 37.800283, -122.252867)"
"('4ac94ac4f964a52095bf20e3', 37.811174, -122.243589)"
"('4a062117f964a520bb721fe3', 37.782253, -122.483646)"
"('4b204910f964a520083024e3', 37.761219, -122.432523)"
"('4a445686f964a52077a71fe3', 37.7645, -122.403691)"
"('60230879c9683c149a6bc428', 37.753168, -122.406606)"
"('4c168943daf42d7f02524466', 37.875248, -122.260345)"
"('4a771f1df964a520a5e31fe3', 37.760938, -122.419535)"
"('44ca68a6f964a52001361fe3', 37.761342, -122.425794)"
"('50ef3b60e4b091d09373b5d5', 37.806729, -122.289693)"
"('4ca4d6a3d7c33704acd2ac62', 37.752626, -122.420979)"
"('4bd0e53141b9ef3b0f19fbe5', 37.855294, -122.283317)"
"('4e0124e7483bd352f72095b8', 37.342492, -121.876769)"
"('53c98e08498ec6ddfaf8b07b', 37.736064, -122.390479)"
"('573e8ba3cd102b8b7351f55a', 37.77197, -122.405135)"
"('63656ca45598da06d058388f', 37.775463, -122.49886)"
"('562405f6498e32f69e70a7a3', 37.761147, -122.425782)"
"('49dcd103f964a520a55f1fe3', 37.86997, -122.300465)"
"('4c302764ed37a593d5926803', 37.778128, -122.405784)"
"('509ffff5067d4e701338c501', 37.809287, -122.250012)"
"('57d06497498e691ec2462b97', 37.849356, -122.265888)"
"('44e37004f964a52042371fe3', 37.775651, -122.438179)"
"('56593add498e44c8a53e41e8', 37.794474, -122.395779)"
"('4a1c3a27f964a520267b1fe3', 37.871244, -122.272752)"
"('4b4d31cdf964a520d7cd26e3', 37.835811, -122.28743)"
"('4aa99475f964a5205d5420e3', 37.840783, -122.291235)"
"('4af5d82ef964a520adfd21e3', 37.780688, -122.458544)"
"('4ae6396ff964a520c5a521e3', 37.788344, -122.409326)"
"('4ab3b005f964a520046e20e3', 37.348061, -121.899121)"
"('57708baf498e779fa8e9a772', 37.850286, -122.271326)"
"('52fc1300498e5a3085607bfd', 37.316199, -121.910077)"
"('4e7bb992b8f7369cee042390', 37.802071, -122.413076)"
"('5325ff61498e2ea84b9cac15', 37.74063, -122.376844)"
"('6016187a5a1c413a68b6d687', 37.764873, -122.431736)"
"('54f08677498ecc627d4dfc22', 37.780549, -122.48075)"
"('516b3b89e4b0416e3694fa4b', 37.810858, -122.261299)"
"('49ba1cbdf964a5205d531fe3', 37.764764, -122.421624)"
"('4b53623ef964a520fe9927e3', 37.822822, -122.266438)"
"('4ba95beef964a520c2213ae3', 37.797836, -122.427451)"
"('4a75022cf964a52043e01fe3', 37.801988, -122.269327)"
"('4a4b8a43f964a5206fac1fe3', 37.776972, -122.408512)"
