empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra_ebikes,extra_has_ebikes,extra_last_updated,extra_payment,extra_payment-terminal,extra_rental_uris_android,extra_rental_uris_ios,extra_renting,extra_returning,extra_slots,extra_uid,extra_address
5,7,3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907515,Gennessee St at Monterey Blvd,2023-08-22T02:33:57.161000Z,7,True,1692671456,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,13,d09b983e-bbce-4501-9e3c-7dc0fe605ff3,
25,1,b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,Jackson St at 11th St,2023-08-22T02:33:57.560000Z,0,True,1692671478,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,27,2dbb5c93-f749-47b9-bcad-ce6c3b26ba35,
22,5,0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105957,Webster St at 19th St,2023-08-22T02:33:57.183000Z,0,True,1692671566,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,27,3e04af83-e5cb-4472-95b5-1fc9caefa6fb,
13,9,28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,The Embarcadero at Sansome St,2023-08-22T02:33:57.455000Z,2,True,1692671493,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,23a2bad4-3ea1-4545-87eb-acbee3efccfc,
22,1,eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,Berry St at King St,2023-08-22T02:33:57.484000Z,0,True,1692666749,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,0,0,23,afa2db8d-61bb-461a-8019-d5cd2aa1ec25,
21,5,d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,Townsend St at 7th St,2023-08-22T02:33:57.053000Z,0,True,1692671542,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,27,e4e5d6b1-a335-41a9-8efe-4c4d9294d6e2,
10,12,bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.39302754402159,Mission Bay Kids Park,2023-08-22T02:33:57.334000Z,3,True,1692671472,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,24,42952b44-cb91-43dd-bdbd-34e4f2a39046,
6,18,2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,Sanchez St at 15th St,2023-08-22T02:33:57.431000Z,17,True,1692671493,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,27,0c9cb910-8442-4df6-a997-704d817583ab,
9,14,840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,MLK Jr Way at University Ave,2023-08-22T02:33:57.498000Z,0,True,1692671527,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,3d923c3c-46ea-4a46-84b7-e95916cdb0bd,
16,3,9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,Farnam St at Fruitvale Ave,2023-08-22T02:33:57.380000Z,0,True,1692671486,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,19,51c15f4f-80bb-4c55-9675-70c184bb4318,
